Country,ISO code,Period,Year,Sex,Non-standard age groups,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+,Including consensual unions,Source type,Source,Survey Name,Note on non-standard age groups,Note on country or population,Note on data source
Afghanistan,4,Around 1970,1973,Men,,7.6,31.9,59.1,78.9,87.2,89.7,90.7,91.5,91.5,85.4,78.3,,Survey,National statistics,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,,,
Afghanistan,4,Around 1970,1973,Women,,49.7,87,94.3,94.2,93.4,84.8,79.4,62.4,54.9,40.7,23.9,,Survey,National statistics,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,,,
Afghanistan,4,..,1979,Men,,9.1,36.1,64.1,82,88.9,91.5,92.9,91.8,90.7,87.6,79.7,,Census,UNSD,,,Excluding nomad population. ,"Data were not adjusted for underenumeration, estimated at 5.0 per cent for urban population and 10.0 per cent for rural population."
Afghanistan,4,..,1979,Women,,53.4,89.8,95.7,95.8,94.5,89.2,84.1,74.6,66.1,48.5,29.4,,Census,UNSD,,,Excluding nomad population. ,"Data were not adjusted for underenumeration, estimated at 5.0 per cent for urban population and 10.0 per cent for rural population."
Afghanistan,4,Around 2005,2008,Men,x,14,,88,,,96,,,,,82,,Survey,National statistics,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,"Data pertain to age groups 15-24, 25-39, 40-64 and 65+.",,
Afghanistan,4,Around 2005,2008,Women,x,40,,93,,,80,,,,,37,,Survey,National statistics,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,"Data pertain to age groups 15-24, 25-39, 40-64 and 65+.",,
Afghanistan,4,Latest,2010,Women,,17.3,65.7,89,94.8,95.4,93.6,91.2,,,,,,Survey,DHS,Afghanistan 2010 Mortality Survey,,Excluding areas in the South zone.,
Albania,8,Around 1985,1989,Men,,1,11.1,56.5,86.8,94.3,95.6,95.3,94.6,93.6,91.6,84.4,,Census,US Census Bureau,,,,
Albania,8,Around 1985,1989,Women,,8.2,51.5,84.4,91.5,93.2,93.4,91.4,86.9,79.8,69.1,42.1,,Census,US Census Bureau,,,,
Albania,8,Around 2005,2001,Men,,0.9,13.6,54.6,84.8,93.7,95.8,96.5,96.4,95.5,93.8,86.4,,Census,UNSD,,,,
Albania,8,Around 2005,2001,Women,,9.5,49.3,79.1,89.6,92.3,92.3,91.4,89.2,84.2,75.7,46.4,,Census,UNSD,,,,
Albania,8,..,2002,Men,,0,13.3,60.2,87.3,94.9,98.7,97.4,,,,,,Survey,RHS,Albania 2002 Reproductive Health Survey,,,
Albania,8,..,2002,Women,,9.5,49.5,78.9,89.5,92.3,92.5,,,,,,,Survey,RHS,Albania 2002 Reproductive Health Survey,,,
Albania,8,..,2008,Men,,0.9,7.6,41.8,77.8,91.7,96,97.1,,,,,x,Survey,DHS,Albania 2008-2009 Demographic and Health Survey,,,
Albania,8,..,2008,Women,,7.5,36.6,70.6,88.4,93.2,93.8,91.3,,,,,x,Survey,DHS,Albania 2008-2009 Demographic and Health Survey,,,
Albania,8,Latest,2011,Men,,1.9,9.6,38.5,72.7,87.6,93.2,95.4,96,96.1,95.4,87.1,,Census,National statistics,,,,
Albania,8,Latest,2011,Women,,7,36.7,67,82.5,88.8,91.1,91,89.6,86.1,80.2,49.9,,Census,National statistics,,,,
Algeria,12,Around 1970,1966,Men,x,4.6,44,83.3,,93.1,,94.7,,93.5,,84.8,,Census,UNSD,,"Data pertain to age groups 15-19, 20-24, 25-34, 35-44, 45-54, 55-64 and 65+.",,Data are based on a 10 per cent sample of census returns. 
Algeria,12,Around 1970,1966,Women,x,44,82.7,88,,83,,70.2,,49.3,,21.6,,Census,UNSD,,"Data pertain to age groups 15-19, 20-24, 25-34, 35-44, 45-54, 55-64 and 65+.",,Data are based on a 10 per cent sample of census returns. 
Algeria,12,..,1977,Men,x,2.5,28.3,68.7,89.8,94.6,95.8,96.1,96.2,94.9,94,91.3,,Census,US Census Bureau,,Data shown for age group 65+ pertain age group 65-69.,,
Algeria,12,..,1977,Women,x,22.5,64.9,83.3,89.7,88.8,84,77.1,69.6,58.4,49.2,37.8,,Census,US Census Bureau,,Data shown for age group 65+ pertain age group 65-69.,,
Algeria,12,Around 1985,1987,Men,,0.7,10.7,49.8,82.8,93.4,96.1,96.5,96.2,96,95,86.8,,Census,UNSD,,,,
Algeria,12,Around 1985,1987,Women,,9.2,45.6,73.7,85.6,88.7,88.4,83.8,76.6,66.4,56.2,32.2,,Census,UNSD,,,,
Algeria,12,Around 1995,1992,Women,,3.5,28.5,61.5,81.6,88,88.6,86.4,,,,,,Survey,PAPCHILD,Algeria 1992 Enquête sur la santé de la mère et de l'enfant,,,
Algeria,12,Latest,2002,Men,x,0.2,1.6,14.4,45.8,80,91.7,96.9,97.6,97.2,97.2,96.4,,Survey,PAPFAM,Algeria 2002 Enquête sur la santé de la famille,Data shown for age group 65+ pertain age group 65-69.,,
Algeria,12,Latest,2002,Women,x,1.8,16.1,40.8,62.8,77,83.1,84.9,81.4,80.4,66.1,57.5,,Survey,PAPFAM,Algeria 2002 Enquête sur la santé de la famille,Data shown for age group 65+ pertain age group 65-69.,,
American Samoa,16,Around 1970,1974,Men,,2.1,21,60.1,78.1,86.5,88.4,88.9,89.8,90.4,81.8,84.2,,Census,UNSD,,,,
American Samoa,16,Around 1970,1974,Women,,8.4,44.6,79.7,86,90.1,88.8,87.5,83.6,75,65.5,46.5,,Census,UNSD,,,,
American Samoa,16,Around 1985,1980,Men,x,1.6,18.1,56.6,76.2,85.1,89.2,,86.6,,85.9,79.4,x,Census,UNSD,,"Data shown for age groups 40-44 and 50-54 pertain to age groups 40-49 and 50-59, respectively.",,
American Samoa,16,Around 1985,1980,Women,x,5.5,39.5,70.9,83.3,86.6,80.8,,68,,59.9,32.4,x,Census,UNSD,,"Data shown for age groups 40-44 and 50-54 pertain to age groups 40-49 and 50-59, respectively.",,
American Samoa,16,Around 1995,1990,Men,,1.5,15.4,46.9,72.1,81.2,87.3,88.4,90.1,88.3,84.2,79.4,,Census,UNSD,,,,
American Samoa,16,Around 1995,1990,Women,,4.6,33.9,64.3,75.5,80.9,82.3,85.3,79.9,71.1,62.9,39.2,,Census,UNSD,,,,
Angola,24,Around 1970,1970,Men,x,7.5,41.1,70.2,81.3,84.9,89.3,89.2,88.9,86,81.4,,,Census,US Census Bureau,,Data shown for age group 60-64 pertain to age group 60+.,,
Angola,24,Around 1970,1970,Women,x,35.2,80.8,85.9,87.9,85.7,88.1,84,73.8,67.2,44.4,,,Census,US Census Bureau,,Data shown for age group 60-64 pertain to age group 60+.,,
Anguilla,660,Around 1995,1992,Men,x,0,6.6,24.5,51.9,,,65.5,,,65.3,,,Census,National statistics,,"Data shown for age groups 30-34, 45-49 and 60-64 pertain to age groups 30-44, 45-59 and 60-74, respectively.",,
Anguilla,660,Around 1995,1992,Women,x,1.6,17.3,36.1,52.6,,,59.5,,,48.3,,,Census,National statistics,,"Data shown for age groups 30-34, 45-49 and 60-64 pertain to age groups 30-44, 45-59 and 60-74, respectively.",,
Anguilla,660,Latest,2001,Men,,0,4.8,22.4,40.8,47.9,53.5,59.7,59.2,62.2,62.9,60.4,,Census,National statistics,,,,
Anguilla,660,Latest,2001,Women,,1.4,14.3,30.2,46.8,47,51.6,51.9,48.3,47.7,52.8,36.6,,Census,National statistics,,,,
Antigua and Barbuda,28,..,1960,Men,x,0.2,4.7,20.2,35.8,50.7,,62.5,,62.7,,60.6,,Census,UNSD,,"Data shown for age groups 35-39, 45-49 and 55-59 pertain to age groups 35-44, 45-54 and 55-64, respectively. ",,
Antigua and Barbuda,28,..,1960,Women,x,1.4,14.1,29.2,38.9,44.3,,43.7,,32.7,,19,,Census,UNSD,,"Data shown for age groups 35-39, 45-49 and 55-59 pertain to age groups 35-44, 45-54 and 55-64, respectively. ",,
Antigua and Barbuda,28,Around 1995,1991,Men,,0.1,2.9,14.8,33.4,44.9,57,58.1,59.4,59.7,58.2,56.9,,Census,US Census Bureau,,,,
Antigua and Barbuda,28,Around 1995,1991,Women,,0.1,2.9,14.8,33.4,44.9,57,58.1,59.4,59.7,58.2,56.9,,Census,US Census Bureau,,,,
Antigua and Barbuda,28,Latest,2001,Men,,1,10,35.4,52.5,64.6,68.9,66.5,72.7,70.6,71.9,60.4,x,Census,UNSD,,,,
Antigua and Barbuda,28,Latest,2001,Women,,3.9,22,41,51.4,55.3,55.4,52.9,50.5,49.5,48.7,29.9,x,Census,UNSD,,,,
Argentina,32,Around 1970,1970,Men,,1.8,20.8,57,75.1,80.9,82.6,83.5,83.5,81.1,78.4,68.1,x,Census,UNSD,,,,
Argentina,32,Around 1970,1970,Women,,10.6,42.9,70.6,80.3,81.9,81.2,78.4,72.4,65.5,57.6,35.2,x,Census,UNSD,,,,
Argentina,32,Around 1985,1980,Men,,0,25.3,62.7,79.8,83.9,84.2,84.1,83.3,83.2,80.9,71.5,x,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 1 per cent."
Argentina,32,Around 1985,1980,Women,,,46.8,72.5,81,82.5,81.6,79,74.3,67.5,58.4,34.8,x,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 1 per cent."
Argentina,32,Around 1995,1991,Men,,2.5,24.8,59,77,83.4,84.4,84.1,82.6,81.5,80.1,73.1,x,Census,UNSD,,,,
Argentina,32,Around 1995,1991,Women,,11.9,43.1,69.7,79.1,81.3,80,77.4,73.1,67.6,59.8,34.2,x,Census,UNSD,,,,
Argentina,32,Around 2005,2001,Men,,3.7,22.9,51.4,71.7,79.8,81.6,82.2,81.4,80.7,79,72,x,Census,National statistics,,,,
Argentina,32,Around 2005,2001,Women,,10.3,36.2,60.8,74.2,77.1,76.3,74.3,70.9,66.4,59.8,34.8,x,Census,National statistics,,,,
Argentina,32,Latest,2010,Men,,6,27.2,52.5,71.1,78.8,80.7,81.3,81.1,81,80.8,72.9,x,Census,National statistics,,,,
Argentina,32,Latest,2010,Women,,12.7,39.3,61.2,73.7,77.4,77,75.5,72.6,69.4,64.5,34.3,x,Census,National statistics,,,,
Armenia,51,..,1979,Men,x,1.9,29.2,75.5,90.9,95.3,96.4,97,96.5,95.4,93.4,91.7,,Census,National statistics,,"Data shown for age groups 15-19 and 65+ pertain to age groups 16-19 and 65-69, respectively.",,
Armenia,51,..,1979,Women,x,13.3,54.9,77.6,84,85.7,84.5,82.1,75.6,63.2,49.1,40.5,,Census,National statistics,,"Data shown for age groups 15-19 and 65+ pertain to age groups 16-19 and 65-69, respectively.",,
Armenia,51,Around 1985,1989,Men,x,2.2,28.3,73,89.8,93.7,95.1,95.4,95.1,94.6,92.4,80.6,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 16-19.,,
Armenia,51,Around 1985,1989,Women,x,16.3,64.2,79.9,82.6,83,82.7,81.2,78.6,72.9,62.1,30,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 16-19.,,
Armenia,51,..,2001,Men,x,0.8,16.8,54.8,79.2,89,92.6,94.4,87.9,,,,,Census,UNSD,,Data shown for age group 50-54 pertain to age group 50+.,,
